stock_code,weight
000657,0.03130656166666666
000960,0.03130656166666666
001389,0.03130656166666666
002156,0.03130656166666666
002353,0.03130656166666666
002851,0.03130656166666666
300136,0.03130656166666666
300604,0.03130656166666666
301200,0.03130656166666666
301611,0.03130656166666666
600549,0.03130656166666666
601212,0.03130656166666666
601231,0.03130656166666666
688347,0.03130656166666666
002429,0.03095776666666666
002436,0.03095776666666666
300567,0.03095776666666666
688037,0.03095776666666666
688172,0.03095776666666666
688387,0.03095776666666666
000039,0.016666666666666663
000539,0.016666666666666663
002203,0.016666666666666663
002273,0.016666666666666663
002624,0.016666666666666663
300058,0.016666666666666663
300390,0.016666666666666663
300395,0.016666666666666663
300570,0.016666666666666663
300679,0.016666666666666663
301308,0.016666666666666663
603920,0.016666666666666663
688220,0.016666666666666663
000426,0.014639894999999998
002131,0.014639894999999998
601168,0.014639894999999998
688017,0.014639894999999998
688615,0.014639894999999998
688676,0.014639894999999998
000831,0.014291099999999998
002155,0.014291099999999998
002409,0.014291099999999998
300017,0.014291099999999998
600392,0.014291099999999998
